Institución;Titulo;Autor;Grado;Asesor(es);Resumen;Año
Universidad César Vallejo;Sustitución de la harina de trigo por harina de kiwicha y harina de almendra en las características fisicoquímicas y propiedades sensoriales en un alfajor ,2019;Salazar Luna, Victoria Claudia;Ingeniera Agroindustrial;Cruz Escobedo, Antis Jesús;"En el presente estudio se determinó el efecto de la sustitución de la harina de trigo (triticum
custriun) por harina de kiwicha (amaranthus caudatus) y harina de almendra (prunus Dulcis)
en las características fisicoquímicas y propiedades sensoriales en un alfajor” en diferentes
proporciones:5% K Y 5% A,10% K Y 10%A ,15%K Y 15%A , más una muestra control 100%
harina de trigo sobre las en las características fisicoquímicas y propiedades sensoriales en un
alfajor, para la prueba de humedad se utilizó 20 gr de cada muestra las cuales fueron sometidas
a una balanza de humedad a una temperatura de 140 grados por un tiempo de treinta minutos
,para la prueba de fibra se recolecto 200 gr de cada muestra las cuales fueron analizadas en
laboratorio santa fe de Trujillo las pruebas fisicoquímicas fueron analizadas con un análisis de
varianza(anova) y prueba de tukey demostró pequeñas variaciones . la muestra control arrojo
12.3%H - 0.29% F, sustitución uno 12.01% H - 0.50% F, sustitución dos 11.64 % H - 0.73 %
F y sustitución tres 11.41 % H - 1.48% F sin embargo los valores de humedad arrojados no
sobrepasan el 15% de humedad, que es el máximo permitido por la N.T.P 205.027:1986 y el
CODEX Alimentarius 152-1985. además, el % de fibra se encuentran dentro del rango de un
producto de pastelería común en el mercado. Con respecto a las propiedades sensoriales se
realizó mediante una evaluación sensorial: prueba de textura y de análisis cuantitativo según
nuestros resultados no se encontró diferencia significativa, sin embargo, se pudo determinar; en
sabor dulce y amargo, el que resalto fue el Tratamiento F2 tuvo una puntuación de 28 en nivel
moderado sabor dulce, seguidamente el tratamiento F3 con una puntuación de 22. Así embargo
en textura la muestra control F1 obtuvo el mayor valor de 24 puntos, en nivel crocantes bajo.
Por último, en la aceptabilidad de me gusta y no me gusta de los alfajores, fue para el
tratamiento F2, con una puntuación de 18 en nivel alto, siguiéndole los pasos el tratamiento F3
con un valor de 16 puntos";2020
Universidad César Vallejo;Efecto de un recubrimiento comestible a base de goma detara (caesalpinia spinosa) y gel de sabila (aloe barbadensis miller), sobre las características fisioquímicos y microbiológicas en cubos de mango (mangifera indica l) CV. Kent Almacenados enrefrigeración;Cieza Herrera, Suly;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"Esta investigación tuvo como principal objetito evaluar el efecto de un recubrimiento
comestible a base de goma de tara (caesalpinia spinosa) y gel de sábila (aloe barbadensis
miller) sobre las características fisicoquímicas y microbiológicas en cubos de mango
(mangifera indica l) de la variedad Kent. El tipo de diseño aplicado fue experimental; la
aplicación del recubrimiento realizó por inmersión en tres tratamientos T1 (0.3% goma
tara, 39.7%gel de sábila), T2 (0.6%, 39.4%), T3 (0.9%, 39.1%) y un tratamiento 4 control,
Se analizó los parámetros de ºBrix, % pérdida de peso, pH, % de acidez titulable, firmeza
y contaminación por microorganismos psicrófilos. Resultados favorables presentaron las
muestras con recubierta de goma de tara y gel de sábila, siendo el mejor tratamiento fue
T3 que conserva mejor los atributos del mango, a diferencia del tratamiento control que
presentó 45% pérdida de peso y el 48% descenso de firmeza.
El recubrimiento digerible a base de goma de tara y gel de sábila mantiene la calidad de
los cubos de mango e inocuo de contaminación de microorganismos psicrófilos, por un
lapso de 8 días a temperatura de refrigeración.";2020
Universidad César Vallejo;Determinación proximal y aceptabilidad general en una galleta dulce sustituyendo la harina   de trigo (Triticum aestivum) por harina de cañihua (Chenopodium pallidicaule) y grano entero de chia (Amaranthus caudatus);Saavedra Marquina, Fabio Nelson;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"En esta investigación se estudiaron cuatro tratamientos compuestos por chía entera, harina
de cañihua y harina de trigo. El T1: 5%HC, 15%HC, 80HT; T2:10%HC, 20%HC, 70%HT;
T3: 15%HC, 25%HC, 60%HT. Los objetivos planteados fueron medir las características
proximales y someter a una degustación al producto utilizando el método de una escala
hedónica de 9 puntos y determinar que tratamiento obtiene los mejores resultados, se empleó
un diseño experimental simple con tres repeticiones por tratamiento y se analizaron
utilizando ANOVA y TUKEY para identificar si existe diferencias. Los resultados
determinaron que existe diferencia significativa en humedad y en cenizas no presentaron
diferencia, en los resultados de proteínas, carbohidratos y grasa presentaron diferencia
significativa, en el estudio de aceptabilidad general también presento diferencia significativa
destacando el tratamiento 1 como el más aceptado. En conclusión, los análisis proximales y
aceptabilidad general presentaron diferencia significativa excepto el análisis de ceniza que
presento igualdad estadística en sus resultados y el tratamiento que presento mejor resultados
fue el tratamiento 3 donde alcanzo los resultados de 7.78% humedad, 2.2% ceniza,
9.71%proteínas y 17.95% grasa.";2020
Universidad César Vallejo;Caracterización fisicoquímica y la capacidad antioxidante en una bebida funcional a base de pulpa de Sábila (Aloe Barbadensis Miller);Leyva Corro, Antonio Gustavo Juan;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"El presente trabajo debido a la amplitud del tema que se aborda, se ha tenido que resumir de
la manera más adecuada, luego de haber hecho un minucioso análisis y resaltar lo más
indispensable e importante sobre el tema.
A continuación, usted podrá encontrar la propuesta de la información más selecta que se ha
podido obtener consultando la diversa bibliografía requerida.
Se empleó la pulpa de sábila con el objetivo de elaborar la capacidad antioxidante y las
características fisicoquímicas de la bebida funcional a partir de la pulpa de sábila (Aloe
Barbadensis Miller), el método trabajado fue descriptivo, para ello se elaboraron tres
formulaciones iguales para los (T1, T2 y T3) con un porcentaje de azúcar blanca (8%), los
resultados de la capacidad antioxidante fue trabajado por el método folin ciocalteu, así mismo
obteniendo los mejores resultados el tratamiento 3 en cuanto a sus compuestos antioxidante.
Mostraron un incremento constante en la capacidad antioxidante y fenoles totales de la sábila
trabajado con una concentración de 0 a 20 ppm, obteniendo mejor resultado de la capacidad
antioxidante 0,8752 donde se presencia que la pulpa de sábila si tiene polifenoles, se
determinó un pH 4, °Brix 11% y acidez total 0,02265% como resultados se obtuvo que el
mejor fue el tratamiento 3, de acuerdo a los resultados, el porcentaje más adecuado de azúcar
blanca es el 8% en bebidas funcional, por lo tanto, se concluye que la bebida funcional a base
de pulpa de sábila es muy importante que nos brinda vitaminas y minerales para la salud.
Se ha tratado en lo posible desarrollar la presente tesis de manera clara y sencilla, con las
limitaciones propias de un graduado, las cuales espero que sean comprendidas";2020
Universidad César Vallejo;Elaboración de una mezcla alimenticia fortificada con hierro a partir de harina de Kiwicha (Amaranthus caudatus L.), harina de Arracacha (Arracacia xanthorrhiza) y  leche en polvo para niños de 1 a 3 años de edad;Caballero Mendoza, Luis Abel;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"El objetivo de la presente investigación fue elaborar una mezcla alimenticia fortificada con
hierro a partir de harina de Kiwicha (Amaranthus caudatus L.), harina de Arracacha (Arracacia
xanthorrhiza) y leche en polvo para niños de 1 a 3 años de edad. Para la elaboración de la papilla
se partió de la obtención de las 3 materias primas ya caracterizadas y con el valor nutricional
(grasas, proteínas, carbohidratos, calorías, fibra, humedad, cenizas y hierro) en la etiqueta del
producto, posteriormente se realizó un diseño de mesclas que arrojaron 36 formulaciones, cada
formulación con proporciones distintas de harina de arracacha, harina de kiwicha y leche en
polvo de las cuales se escogieron las 3 mejores formulaciones, las que se ajustan al Codex y a
los requerimientos nutricionales de niños entre 1 a 3 años de edad. Las 3 formulaciones fueron:
F1: 20% de harina de arracacha, 40% de harina de kiwicha y 40% de leche en polvo; F2: 30%
de harina de arracacha, 20% de harina de kiwicha y 50 de leche en polvo; F3: 10% de harina de
arracacha, 30% de harina de kiwicha y 60% de leche en polvo. A estas 3 formulaciones se
evaluaron su valor nutricional en cuanto a grasas, proteínas, carbohidratos, calorías, fibra,
humedad y cenizas. A la formulación 3 (F3) se le realizó un análisis de hierro, los resultados
fueron para F3: 6.85% de grasas, 18.7% de proteínas, 63.8% de carbohidratos, 391.65 kcal,
0.9% de fibra, 6.1% de humedad, 4.5% de cenizas y 108 mg/kg de hierro; F2: 14.3% de grasas,
15.5% de proteínas, 59.85% de carbohidratos, 428.7 kcal, 0.85% de fibra, 6.25% de humedad,
109.7 ppm de hierro (10.9 mg/100g) y 4.5% de cenizas; F1: 11.15% de grasas, 14.3% de
proteínas, 64.85% de carbohidratos, 416.95 kcal, 1.15% de fibra, 6.4% de humedad y 3.45% de
cenizas. Con respecto a la fortificación se agregó a las 3 formulaciones 600 mg de sulfato ferroso
que equivale a 120 mg de hierro siguiendo los parámetros de fortificación para harinas del 
Ministerio de Salud.";2020
Universidad César Vallejo;Efecto de la adición de goma de sapote (Capparis scabrida) y goma de tara  (Caesalpinia spinosa) sobre la caracterización reológica de un yogurt batido a base  de leche de cabra;Flores Capristan, Carlos Javier;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"Se investigó el efecto de proporciones de Goma de Sapote (Capparis scabrida) y Goma de Tara
(Caesalpinia spinosa) sobre las características reológicas y fisicoquímicas de un yogurt batido a
base de leche de cabra. En las características reológicas de yogurt batido a base de leche de cabra
se utilizó un viscosímetro digital de marca Fungilab Expert. En todos los tratamientos, la
viscosidad aparente disminuyó con la velocidad de cizalla demostrando un comportamiento “no
newtoniano” de tipo “plástico general”. El índice de consistencia estuvo en el rango de 0,481 y
0,686 (n &lt; 1), el índice de comportamiento “k” en el rango de 1,434 y 3,980 Pa.sn, la viscosidad
estuvo en el rango de 0.609 y 2.364 Pa.sn y finalmente, las características fisicoquímicas del
yogurt batido obtuvieron una acidez de (14-18°D), °Brix (10-11), pH (6,5 - 6,7) y densidad (1,029
- 1,034g/ml).";2020
Universidad César Vallejo;Efecto de la proporción de jugo de caña (Saccharum officinarum) clarificado: extracto de clorofila comercial en las características fisicoquímicas, funcionales y sensoriales de una bebida;Mantilla Bacilio, Iris Marita;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"La presente investigación tuvo por finalidad determinar el efecto de la proporción de jugo
de caña (Saccharum Officinarum) clarificado con la enzima Biopectinasa 50 000: extracto
de clorofila comercial en la elaboración de una bebida funcional. Donde se trabajó las
proporción de jugo de caña clarificado: extracto de clorofila comercial (100%, 90%:10%,
85%:15%, 80%:20% y 75%:25%) y los análisis fisicoquímicos (acidez titulable, azucares
reductores totales, determinación de color L*a*b*), análisis funcionales (cuantificación de
fenoles, cuantificación de flavonoides, determinación de capacidad antioxidante y
determinación de clorofila a, b y c) y análisis de evaluación de sensorial, se utilizó una escala
hedónica de 7 puntos aplicado a 60 panelistas no entrenados, donde se evaluaron dos
atributos color y sabor. En los resultados de acidez titulable se observó que al aumentar la
proporción de clorofila (75%:25%), el porcentaje de acidez disminuye (0.17), en cuanto
azúcares reductores totales al aumentar la proporción de extracto de clorofila se puede
presenciar mayor cantidad de azúcares reductores totales, esto quiere decir que no existe
efecto significativo. En la determinación de color L* la proporción (90%:10%) T2, presentó
mayor *L, sin embargo, para a* el comportamiento es que al aumentar el extracto de clorofila
el valor a*disminuye, caso contrario sucede con la proporción (100%.0%) TC1 que presentó
mayor b*. Además, tanto L*y b* presentó efecto significativo. En el TC1 (control), se
observó mayor cantidad de fenoles y a la vez no presentó efecto significativo. En la
cuantificación de flavonoides el T5 (75%:25%), presentó mayor cantidad de flavonoides,
esto genera un efecto significativo según a moda estadística. En la determinación de
capacidad antioxidante el T3 (85%:15%), presentó mayor cantidad de antioxidante, por lo
cual hace referencia de un efecto significativo. En la determinación de clorofila a, b y c, se
presencia mayores valores en el T5 (75%:25%), esto confirma la presencia de efecto
significativo. En el análisis sensorial en el atributo color el T5, presentó mayor aceptabilidad,
por ende, existe diferencia significativa siendo el P&lt;0.05, en comparación con el atributo
sabor el TC1, presentó mayor aceptabilidad, por lo que no existe diferencia significativa
(p&gt;0.05) entre las muestras evaluadas.";2020
Universidad César Vallejo;Efecto del pretratamiento de cuajo de oveja (Ovis aries) y el tiempo de coagulación sobre las características sensoriales y fisicoquímicas del queso fresco;Alarcon Saucedo, Katherine Nelida;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"El objetivo de presentar este proyecto de investigación tiene por finalidad evaluar el efecto
del pretratamiento y el tiempo de coagulación del queso fresco a partir de cuajo de oveja
(Ovis aries) evaluando sus características sensoriales y fisicoquímicas. Para obtener el cuajo
de oveja se aplicó un método de desecación natural y dos pretratamientos (maceración en
solución agua tibia y suero de queso )con diferentes tiempos de coagulación en cada
pretratamiento (15,30 y 40 minutos )con un total de 6 tratamientos ,dando como resultado el
análisis estadístico (ANOVA) con p =0.05 demostró que existieron diferencias
significativas entre los 6 pretratamientos obtenidos entre los quesos frescos a partir de cuajo
de oveja analizados durante los 2 días . Se tuvo como variable independiente al cuajo de
oveja y tiempo de coagulación; y como variable dependiente pH, humedad y sólidos totales.
Se observó porcentaje diferentes entre los pretratamientos en el queso fresco, al evaluar los
parámetros físicos químicos del queso (pH, humedad y sólidos totales), Se realizó un formato
para evaluar el análisis sensorial evaluando a un panel no entrenado de 40 personas
seleccionadas al azar habituales consumidores de queso fresco.";2020
Universidad César Vallejo;Efecto de la proporción de tarwi (lupinus mutabilis): pimiento rojo (Capsicum annuum): aceite de ajonjolí (Sesasum indicum) sobre las características fisicoquímicas, reológicas y aceptabilidad general de un puré;Sanchez Espinola, Jhonn Presley;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"La investigación tuvo como objetivo determinar el efecto de la proporción de tarwi (Lupinus
mutabilis): pimiento rojo (Capsicum annuum): aceite de ajonjolí (Sesasum Indicum), sobre
las características fisicoquímicas, reológicas y aceptabilidad general de un puré, para lo cual
se formuló tres tratamientos y una muestra control (T1-T2-T3-C) de tarwi, pimiento rojo y
aceite de ajonjolí, con proporciones de 90%, 8%, 2%; 80%, 16%, 4%; 70%, 60%, 15%; y
100%, 0%, 0% respectivamente. El procesamiento del puré se realizó por separado, de
acuerdo a cada formulación y en diferentes días, a fin de realizar las pruebas fisicoquímicas,
reológicas y aceptabilidad general. Para las variables paramétricas se empleó la prueba de
Levene, un ANVA simple, y, además, la prueba de Tukey. Para evaluar la aceptabilidad
general se utilizó la prueba de Friedman y Wilcoxon. Todos estos análisis estadísticos se
efectuaron con un nivel de confianza del 95%; y los datos fueron procesados en el software:
Minitab 18.0.
El tratamiento con mayor aceptación fue el T2 (80% tarwi, 16% pimiento rojo, 4%aceite de
ajonjolí), presentando la más alta calificación promedio con 7.21, con moda de 8
correspondiente a la percepción de ""me agrada mucho"". Esta formulación presentó contenido
de proteínas, grasas, fibra, carbohidratos, humedad, ceniza y pH, de 9.42%, 15.52%, 4.46%,
65.25%, 3.34%, 2.02% y 4.5; respectivamente.";2020
Universidad César Vallejo;Efecto de la sustitución parcial de harina de trigo (triticum aestivum) por harina de alpiste (phalaris canariensis l.) sobre las características fisicoquímicas y aceptabilidad general de un panetón;Lavado Gonzales, Nancy Elisabeth;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"En la actualidad se viene sustituyendo la harina de trigo por harina de otros granos,
cereales y legumbres que benefician a la salud.  El alpiste es un grano que contiene 
proteínas, fibras y otras características que ayudan al buen funcionamiento del organismo.
En nuestra región la libertad encontramos este cultivo en grandes cantidades, pero es
destinado para alimento de aves; desperdiciando así los beneficios que puede brindarnos.
La investigación pretende realizar un producto rico y nutritivo a base de la harina de
alpiste. 
Se propuso elaborar un panetón enriquecido con harina de alpiste, pues este cereal
contiene altos valores nutritivos que al sustituir a la harina de trigo (casi en su totalidad
es importada) se pretende mejorar la alimentación y por ende la calidad de vida de los
consumidores de panetón y/o productos de panificación. Se realizó 3 tratamientos T1 (10
% de sustitución), T2 (15% de sustitución), T3 (20% de sustitución) y se planteó que esta
sustitución tendría un efecto significativo en el producto.  
En primer lugar, se obtuvo materias primas y materiales; para la harina de alpiste, primero
se obtuvo el grano y de ello la harina; a la cual, se llevó a analizar; mostrando un 24.21
% de proteínas; 0.97 % de ceniza; 11.7 % de humedad y un 7.11 % de fibra. También se
analizó su color. En la panadería y pastelería “JAVIER” se elaboró el panetón con la
ayuda de los trabajadores y dueños del local luego de tres semanas se realizaron los
análisis para las características fisicoquímicas dando como resultados: proteínas 12.98 %;
13.28 %; 14.22 %, ceniza 0.98 %; 0.93 %; 0.98 %, humedad 27.97 %; 60 %; 24.2 % para
cada tratamiento (T1, T2, T3) respectivamente. También se avaluó textura y color. En las
mismas instalaciones se realizó la degustación para la aceptabilidad general; el más
aceptado fue T3 con 20 % de sustitución este contiene 0.10 % de fibra. 
En conclusión, se logró elaborar el panetón, realizar su evaluación fisicoquímica y
determinar el grado de aceptabilidad a cada tratamiento. Se recomienda realizar productos
similares con dicha harina pues fuentes afirman que es muy beneficiosa para el
organismo.";2019
Universidad César Vallejo;Efecto de la sustitución parcial de harina de trigo (Triticum aestivum) por harina de cañihua (Chenopodium pallidicaule) y tarwi (Lupinus mutabilis) sobre las características nutricionales y aceptabilidad general de nuggets de hígado de pollo (Gallus domesticus);Crisologo Bueno, Carlos Fernando;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"El propósito de este trabajo de investigación es evaluar el efecto de la sustitución
parcial de harina de trigo (Triticum aestivum) por harina de cañihua (Chenopodium
pallidicaule) y tarwi (Lupinus mutabilis) sobre las características nutricionales y
aceptabilidad general de nuggets de hígado de pollo (Gallus domesticus). La
investigación es importante, ya que se elaborará un nuevo alimento con alto valor
nutricional aprovechando nuevas mezclas, logrando un alimento atractivo con la
finalidad de disminuir porcentaje de desnutrición y anemia en nuestra región.
Para la realización de este trabajo experimental se formularon 4 tratamientos con
diferentes sustituciones de materia prima: T0= 40%, 0%, 0%, 60%; T1= 25%, 10%,
5%, 60%; T2= 20%, 5%, 15%, 60%; T3= 15%, 15%, 10%, 60%; harina de trigo,
harina de cañihua, harina de tarwi, hígado de pollo respectivamente. Obteniendo el
T3 los mejores resultados: proteínas 16.10%, grasas 6.84%, carbohidratos 33.32%,
humedad 34.27%, cenizas 9.46% y mejor aceptabilidad general. Llegando a la
conclusión que mientras aumenta la sustitución de las harinas de cañihua y tarwi
existe un efecto significativo en las características nutricionales y aceptabilidad
general de los nuggets.";2019
Universidad César Vallejo;Efecto del nitrofoska verde y suero de leche como medios de cultivo en la producción de biomasa de Scenedesmus acuminatum IMP-LBA-008, en fotobiorreactor de tanque agitado;Díaz Aponte, Gerson Moisés;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"Este trabajo tuvo por objeto determinar el efecto del Nitrofoska verde y suero de leche como
medios de cultivo en la producción de Biomasa de Scenedesmus acuminatum IMP-LBA-008,
en fotobiorreactor de tanque agitado.
El cultivo de las microalgas se realizó en seis fotobiorreactores, los cuales tuvieron como
medio de cultivo Nitrofoska verde a concentraciones del 0,0025%, 0,005% y 0,01%; y suero
de leche a concentraciones del 0.1%, 0.5% y 1.0%. La agitación se realizó mediante la
inyección de aire difuso, y la radiación fue artificial, con fotoperiodo de doce horas diarias.
La mayor producción de Biomasa fue obtenida en el medio de cultivo de Nitrofoska verde a
una concentración de 0,005%, con 0,8333 g/L. Asimismo se observó que las microalgas se
adaptaron más rápidamente a los medios de cultivo con menor concentración de nutrientes.";2019
Universidad César Vallejo;Efecto de la sustitución parcial de grenetina por harina de cushuro (Nostoc commune vauch) sobre las características nutricionales y físicas de gomitas comestibles a base de arándano (Vaccinium myrtillus);García Bartra, Sweeney Kahomy;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación tuvo por objetivo la evaluación del efecto de la
sustitución parcial de grenetina por harina de cushuro (Nostoc commune vauch) sobre las
características nutricionales y físicas de gomitas comestibles a base de arándano (Vaccinium
myrtillus). Se realizaron 3 porcentajes de sustitución teniendo como T1 al 35 %, T2 al 45%
y T3 al 55% de sustitución de harina de cushuro al cual se le realizó las características
nutricionales dando como resultado un 3.1433 % de proteínas, 0.146 % de cenizas, 10.026
% de grasa, 74.442 % de carbohidratos, aportando 400.584 Kcal por cada 100 g, con un
aporte de antioxidantes en un 54.616%, para el tratamiento 1, un 3.180 % de proteínas,
0.0780 % de cenizas, 4.884 % de grasa, 78.422 % de carbohidratos, aportando 320.371 Kcal
por cada 100 g, con un aporte de antioxidantes en un 58.951%, para el tratamiento 2, un
3.457 % de proteínas, 0.398 % de cenizas, 3.709 % de grasa, 82.284 % de carbohidratos,
aportando 376.35 Kcal por cada 100 g, con un gran aporte de antioxidantes en un 66.646%,
para el tratamiento 3, en cuanto a las características físicas se obtuvo para el tratamiento
1: 0.801 N de fuerza a la compresión, con una humedad de 12.24 % y en cuanto a color con
una luminosidad de L* 33.706, a*0.8467, b*0.01, c*0.8467 y ΔE de 1.845, en el
tratamiento 2: 0.464 N de fuerza a la compresión, con un porcentaje de humedad en 13.434
% y en cuanto a color con una luminosidad de L* 33.713, a*0.446, b*0.116, c*0.463y ΔE
de 1.432 y por último para el tratamiento 3: 0.316 N de fuerza a la compresión, con un
porcentaje de humedad en 10.150 % siendo este el más bajo y en cuanto a color presenta una
luminosidad de L* 28.48, a*0.7, b*0.773, c*1.0433 y ΔE de 2.2435. En conclusión, se
obtuvieron mejores características fisicoquímicas con el tercer tratamiento (55%) en las
gomitas comestibles a base de cushuro (Nostoc commune vauch) y arándano (Vaccinium
myrtillus), por otro lado, el tratamiento 1 (35%) presentó mejores resultados en cuanto a
características físicas.";2020
Universidad César Vallejo;Efecto de la concentración del mucílago de Linaza (Linum usitatissimum) sobre las  características fisicoquímicas y reológicas de un Néctar de Maracuyá (Passiflora edulis);Silva Muñoz, José Segundo;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación tuvo por finalidad determinar el efecto de
concentración del mucílago de Linaza (Linum usitatissimum) sobre las características
fisicoquímicas y reológicas de un Néctar de Maracuyá (Passiflora edulis)”.
Primero se extrajo el mucílago de Linaza en polvo en una relación de 1:9 de semilla y
agua, a una temperatura de 85°C por un lapso de agitación de 15 minutos para su posterior
liofilización. Luego en la elaboración del Néctar se trabajó con 4 tratamientos, dentro de
estos un Blanco (CMC) y los otros 3 con mucílago de Linaza a diferentes concentraciones
(T1 – 0.05%, T2 – 0.10% y T3 – 0.15%), una vez conseguido el producto terminado se
caracterizó fisicoquímicamente y se analizó estadísticamente mediante un análisis de
varianza (Anova) y la prueba de Tukey, la cual reportó un efecto muy significativo entre
todos los tratamientos de los análisis de sedimentación, humedad y cenizas.
Los tratamientos no presentaron variabilidad en el análisis de °brix, ph y acidez con la
cual se determina que el mucílago de Linaza no influye en la calidad del producto
terminado. 
Sin embargo, en la estabilidad del Néctar de Maracuyá, el tratamiento T3 (0.15%
mucílago) obtuvo 34.30%, reflejando el mejor resultado en cuanto a la sedimentación y
así mismo en solidos totales obtuvo 14.42%; si bien la cantidad del mucílago de Linaza
no contribuye a alterar la calidad (ph, acidez y °Brix), pero si influye en una mejor
estabilización del Néctar.
Por último el tipo de fluido del Néctar de Maracuyá es de tipo Pseudoplástico, para el
índice de comportamiento de flujo obtuvo 0.6808, para el índice de consistencia obtuvo
0.2855 y para el umbral de fluencia de 0.2767.";2019
Universidad César Vallejo;Efecto del secado previo y tiempo de fritura en las características fisicoquímicas y aceptabilidad sensorial de  hojuelas  de papa frita (solanun tuberosun)  variedad yungay;Santisteban Crespin, Manuel Mercedes;Ingeniero Agroindustrial;León Marrou, María Elena;"El presente trabajo de investigación tuvo por objetivo evaluar el efecto del secado previo
y tiempo de fritura en las características fisicoquímicas y aceptabilidad sensorial de
hojuelas de papa frita (Solanum Tuberosum) variedad Yungay.  
Los resultados reportaron que existieron diferencias significativas (p&lt;0,5) del efecto del
secado (60% y 80% de humedad inicial y tiempos de fritura) (2,0; 2,5 y 3,0 min) sobre
el % de humedad final, % de absorción de aceite y aceptabilidad sensorial de hojuela de
papa frita (Solanum Tuberosum) variedad Yungay. 
Las muestras con secado previo (60% de humedad inicial) reportaron un tiempo de
fritura de 2 minutos un menor % de absorción de aceite de 14,53% y 4.27 de humedad
final. 
Las muestras de hojuelas con 80% de humedad son las que reportaron mayor
aceptabilidad sensorial con respecto al color (2,0 min de fritura) y crocantes (3,0 min de
fritura)";2019
Universidad César Vallejo;Efecto de la concentración de la Harina de Chía (salvia hispanica  l.) sobre las características fisicoquímicas y sensoriales de nuggets a base de trucha (oncorhynchis mykiss) en el Departamento  de La Libertad Provincia de Trujillo en el año 2019;Silva Muñoz, José Segundo;Bachiller en Ingeniería Agroindustrial;Pagador Flores, Sandra Elizabeth;"La utilización del pescado la Trucha como sustituto de la carne de Pollo en productos
industrializados, se encuentran en auge. Su utilidad en productos como los Nuggets
favorecerá un novedoso alimento nutritivo y sobretodo un buen uso del mismo. El
objetivo general de esta investigación fue Determinar el efecto de la concentración de
harina de Chía (Salvia hispánica L.), sobre las características fisicoquímicas y sensoriales
de Nuggets a base de Trucha (Oncorhynchis mykiss). En los resultados se muestran el
análisis sensorial se observó que en aceptabilidad de los Nuggets, la formulación 12
obtuvo mayor aceptabilidad entre los consumidores, además en las características
fisicoquímicas, solo se analizó la mejor formulación, en este caso solo fue analizada la
formulación 12, en donde el porcentaje de grasa encontrado mediante el método del
Soxhlet en los Nuggets de Trucha, es menor en comparación a los datos obtenidos en los
supermercados de Nuggets de Pollo y la cantidad de proteína se halló de forma cualitativa
mediante el método de Biuret, donde el color aumentó debido a la gran cantidad de 
proteínas de una formulación a otra.";2019
