Institución;Titulo;Autor;Grado;Asesor(es);Resumen;Año
Universidad César Vallejo;Efecto de la sustitución parcial de Harina de Trigo (triticum aestivum) por Harina de Kiwicha (amaranthus caudatus) en la elaboración de galletas nutritivas, Trujillo, abril - julio, 2019;Crisologo Bueno, Carlos Fernando;Bachiller en Ingeniería Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación denominado efecto de la sustitución parcial de harina
de trigo (Triticum aestivum) por harina de kiwicha (Amaranthus caudatus) en la
elaboración de galletas nutritivas, Trujillo, abril - julio, 2019. Se consideraron como
objetivo general evaluar el efecto de la sustitución parcial de harina de trigo (Triticum
aestivum) por harina de kiwicha (Amaranthus caudatus) en la elaboración de galletas
nutritivas, y como objetivos específicos determinar la textura de galletas nutritivas,
determinar la composición proximal de galletas nutritivas y determinar la aceptabilidad
general de galletas nutritivas. Las muestras fueron tomadas al azar, considerando 4
tratamientos con 3 réplicas cada uno. Se elaborarán las siguientes formulaciones, T0:
100% - 0%, T1: 90% - 10%, T2: 85% - 15%, T3: 80% - 20%, de harina de trigo y harina
de kiwicha respectivamente. Se logró concluir que la sustitución parcial de harina de trigo
por harina de kiwicha efecto significativamente en la composición proximal y textura en
las galletas nutritivas.";2019
Universidad César Vallejo;Efecto de la sustitución de harina de trigo por Harina de Cañihua (chenopodium pallidicaule allen) y Kiwicha (amaranthus caudatus)  en las características fisicoquímicas y calidad culinaria de fideos fetuccini;Tantarico Huamán, Yeiser Jeferson.;Bachiller en Ingeniería Agroindustrial;Pagador Flores, Sandra Elizabeth;"En esta investigación de sustitución de harinas en la elaboración de pastas, son alimento muy
consumido y elaborado en base a harina de trigo. En este estudio se buscó incluir las harinas
de Cañihua y kiwicha, para elaboración de fideos tipo fetuccini para ser evaluados en sus
características fisicoquímicas y calidad culinaria; para ello se realizó una metodología
experimental utilizado muestra control con tres replicas (15% Cañihua,15% Kiwicha; 30%
Cañihua y 30% Kiwicha), tomando como base la harina de trigo. El efecto de la sustitución
generó en los análisis fisicoquímicos diferencias estadísticamente significativas en cuanto al
% humedad, cenizas, acidez alcohólica y color, esto respecto a la muestra control; por otra
parte, las calidades culinarias en fideos con sustitución no superaron a la muestra control del
100% de trigo. Concluyéndose que incluir cereales andinos mejora las cualidades nutritivas,
pero no superan la calidad culinaria de los fideos convencionales.";2019
Universidad César Vallejo;Efecto de la proporción de Pulpa de Arándano (vaccinium corymbosum) variedad biloxi: Pulpa de Fresa (fragaria vesca)  variedad chandler: Jugo de Uva (vitis vinífera) variedad Italia sin pepa, en las características fisicoquímicas y sensoriales  de un jugo mixto de frutas;Alva Bernal, Kevin Pierre Gustavo;Ingeniero Agroindustrial;Barraza Jáuregui Gabriela del Carmen;"Se evaluó el efecto de la proporción de pulpa de arándano: pulpa de fresa: jugo de uva en las
características fisicoquímicas y sensoriales de un jugo de frutas.  
Se trabajó con un Diseño de un solo factor utilizando para cada uno de los tratamientos, 3
repeticiones. 
El análisis Check-all-that-apply (CATA), correspondió que 4 productos sean evaluados (1 es
ideal y 3 son regulares) por 83 degustadores por medio de 24 atributos. Se registraron los
resultados de forma binaria (0: atributo no escogido; 1: el atributo escogido). Cabe mencionar,
que cada uno de los consumidores  otorgó un calificativo general (1-9) a cada producto (menos
el ideal). 
Se realizó la prueba Q de Cochran para determinar diferencias entre los productos para cada una
de los atributos considerados en la pregunta CATA. Además se evaluó, a partir de sus perfiles
sensoriales, la prueba de la no dependencia entre las columnas y filas en los productos. Se obtuvo
un mapa sensorial (biplot de atributos y productos) utilizando el análisis de correspondencia
(CA) considerando las distancias Chi-cuadrado, para determinar que productos y atributos
estuvieron vinculados al ideal, seguido de un análisis de coordenadas principales que se
visualizaron en un mapa bidimensional, para determinar la asociación del gusto con los
atributos, luego se efectuó un análisis de penalización sobre las respuestas de las preguntas
CATA considerando la descripción del producto ideal y se determinó las caídas del gusto
relacionada con el desvío del producto ideal para cada término utilizado en la pregunta CATA
y se sometieron a pruebas de significación.  
El método CATA determinó que los atributos principales que un consumidor desea para su jugo
mixto ideal son: sabor dulce y muy consistente.";2018
Universidad César Vallejo;Propuesta de mejora para incrementar la productividad en el proceso de  Selección y Clasificación de Espárrago Blanco (Asparagus Officinalis L.)  de la empresa Green Perú S.A.;Lozano Velásquez, Esther Marianela;Ingeniera Agroindustrial;Linares Luján, Guillermo Alberto;"El presente proyecto de tesis tiene como objetivo principal la propuesta de mejora para
incrementar la productividad en el proceso de selección y clasificación de esparrago blanco
de la empresa Green Perú S.A.; utilizando herramientas como el estudio de tiempos y
movimientos, mediante el uso de la observación directa y secuencial del proceso para
determinar el diagrama de flujo, diagrama de Gantt, balance de línea, diagrama de recorrido,
flujo de materiales y análisis matricial del proceso productivo del espárrago blanco.
Mediante las herramientas de disposición de planta se logra tener una visión preliminar del
proceso, construyendo una base para la identificación de las oportunidades de mejora que
incrementen la productividad del proceso. Dentro de las propuestas de mejora se tomaron
algunas alternativas tales como: la eliminación del corte de materia prima, la reubicación de
la balanza electrónica (donde se pesa el producto seleccionado), la reubicación del producto
seleccionado en la cámara de producto terminado (01), la implementación de una segunda
puerta para el despacho del producto seleccionado y salida del personal, el retiro de las mesas
y cajas de acero inoxidable (usadas para la operación de corte mecánico) y el
acondicionamiento de 6 líneas de selección y clasificación en la misma sala de proceso.
Luego se realizó un nuevo análisis con las mismas herramientas de la disposición de planta
teniendo en cuenta las propuestas planteadas y así poder determinar si  existe el incremento
de la productividad en el proceso de selección y clasificación del esparrago blanco.";2019
Universidad César Vallejo;Efecto de la concentración de carboximetilcelulosa sobre las características reológicas y  aceptabilidad general en pulpa de guanábana (annona muricata l.);Espejo García, Nathaly Cecilia Taella;Ingeniera Agroindustrial;Linares Lujan, Guillermo Alberto;"Para la ejecución de esta investigación se tomó como meta medir el efecto de la cantidad exacta 
de carboximetilcelulosa en aceptación general en pulpa de guanábana y determinar las
características reológicas en diferentes concentraciones de CMC. Para hallar la reología se
empleó un reómetro modelo Brookfield RVDV – III realizándose 9 muestras experimentales para
evaluar las variables “m” (índice de consistencia), “n” (índice de comportamiento de flujo) y To
(esfuerzo cortante inicial) en porcentajes de 0.1%, 0.2% y 0.3% en  concentración de
carboximetilcelulosa y la aceptabilidad general en una evaluación con escala hedónica en el
rango de 10=Me gusta mucho a 2= Me disgusta mucho. La evaluación para la aceptación general
se necesitó un grupo no especializado de 50 consumidores de pulpa de guanábana. Se
determinó que las concentraciones de CMC tiene un efecto sobre la viscosidad y aceptación
general, determinando que la cantidad al 0.2% tiene mejor aceptación general.";2019
Universidad César Vallejo;Efecto de la concentración de microorganismos eficaces (EM-1) en el crecimiento de plantones de maracuyá (Passiflora edulis f. flavicarpa);Núñez Vázquez, Raúl Alonzo;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"En el presente trabajo de investigación se evaluó el efecto de la concentración de los
microorganismos eficaces, en el crecimiento de plantones de maracuyá (Passiflora edulis f.
flavicarpa), para lo cual se evaluó la altura y largo de las hojas, además de realizar un
conteo de microorganismos eficaces (EM-1) y microorganismos eficaces activados
(EMA); a través del método de recuento en placa. Los plantones fueron clasificados en
cuatro bloques completamente al azar (A, B, C y D); los resultados en cuanto a la altura de
planta (cm) a los 15 días de la primera aplicación de EM-1 en concentraciones de (0%, 5%,
10% y 15%) fueron de 5.91±0.76, 6.04±0.53, 6.98±0.37 y 7.41±0.35; a los 30 dias fueron
de 7.68±0.60, 7.77±0.70, 8.84±0.37 y 9.79±0.49; a los 45 días fueron de 9.66±0.80,
9.81±0.67, 11.42±0.16 y 12.54±0.72; y por último a los 60 días fue de 11.67±0.46,
12.19±0.41, 13.39±0.36 y 15.56±0.94 para las cuatro concentraciones respectivamente; en
cuanto a los resultados del largo de la hoja (cm) evaluados a los 60 días de la primera
aplicación de EM-1 fueron de 5.87±0.52, 7.03±0.42, 8.59±0.70 y 10.06±0.58; a estos
resultados se aplicó un análisis de varianza (ANVA) y posteriormente una prueba de
Tukey, determinándose que existió efecto significativo de la concentración de EMA sobre
el crecimiento de los plantones (p&lt;0.05), además de existir diferencias significativas entre
tratamientos, siendo la concentración de 15% la que presentó un mayor promedio de la
altura de la planta y largo de hoja a los 60 días de la primera aplicación de EMA. La
cantidad de microorganismos presentes en el EM-1 fue de 27x10 5  UFC/mL y en el EMA
(microorganismos eficaces activados) fue de 29 x 10 7 UFC/mL";2018
Universidad César Vallejo;"Efecto de la temperatura y tiempo de almacenamiento en
la pérdida de peso, contenido antocianinas y capacidad
antioxidante de arándano azul (Vaccinium corymbosum
L.) variedad Biloxi";Sandoval Quispe, Llely Del Pilar;Ingeniera Agroindustrial;Barraza Jáuregui Gabriela del Carmen y Pagador Flores, Sandra Elizabeth;"Esta investigación tuvo como objetivo determinar el efecto de la temperatura y
tiempo de almacenamiento en la pérdida de peso, contenido de antocianinas y
capacidad antioxidante del arándano azul (Vaccinium corymbosum L.) variedad
Biloxi, proveniente de la provincia de Chao, La Libertad. Los arándanos azules
fueron envasadas en bandejas de polietileno y almacenadas a dos temperaturas
(1 y 7 °C) durante 7, 14 y 21 días. Se cuantificó pérdida de peso y contenido de
antocianinas, por metodología de pH diferencial y capacidad antioxidante, medida
como IC50. La prueba estadística de Tukey, determinó que la temperatura y
tiempo de almacenamiento tuvieron un efecto significativo (p&lt;0.05) en relación
con  la pérdida de peso y contenido de antocianinas de arándano azul; a
diferencia de la capacidad antioxidante donde reportó un efecto significativo en el
tiempo de almacenamiento y que la mejor conservación es con la temperatura
más baja (1°C) y el tiempo de almacenamiento más corto (7 días) obteniendo una
pérdida de peso de  4,83, un contenido total de antocianinas de 159,22 mg/100g 
cianidina-3-glucósido  y una capacidad antioxidante de 7.54.";2018
Universidad César Vallejo;Efecto de la relación muestra: solvente en el rendimiento de extracción de acetogeninas presentes en la hoja de la Guanábana (annona muricata), provincia de Ascope, La Libertad;Reyna Pereda, Segundo Manuel;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"En el presente trabajo se determinó el efecto de la relación muestra: solvente en el rendimiento de extracción de acetogeninas presentes en la hoja de guanábana de la Provincia de Ascope, La Libertad; el método realizado fue por decantación utilizando diclorometano, hexano y metanol como solventes, las concentraciones trabajadas fueron de (1:4),(1:5),(1:6),(1:7),(1:8); los análisis realizados se hicieron por triplicado para cada muestra ; para identificar el compuesto de interés se utilizó el método de cromatografía de capa fina y como revelador el reactivo de kedde; obteniendo mayor rendimiento de  acetogenina  en la concentración (1:4) con un 5.016% de acetogenina.";2018
Universidad César Vallejo;Efecto de Tecnologías Combinadas sobre las  características Físico-Químicas y Microbiológicas de Encurtidos de Pimiento Piquillo (Capsicum Annuum, L.)  Variedad Piquillo durante el Tiempo de Almacenamiento;Alfaro Alarcón, Anthony Jorell;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación tuvo por objetivo evaluar el efecto de
tecnologías combinadas sobre las características físico-químicas y
microbiológicas de encurtidos de pimiento piquillo (Capsicum annuum, L.)
Variedad piquillo durante el tiempo de almacenamiento, para lo cual se empleó un
Diseño experimental con un total de 16 tratamientos los cuales fueron replicados
tres veces teniendo un total de 48 unidades experimentales, determinando el pH,
acidez (%) y recuento de mohos y levaduras evaluados a 0, 4, 8, 12, 16, 20, 25 y
30 días de almacenamiento. Se aplicó un análisis de varianza (ANOVA). Se
observaron diferencias significativas en la determinación de pH, acidez (%) y
recuento de mohos y levaduras ufc/g (p&lt;0,05); obteniendo resultados que el
efecto del pH en encurtido de pimiento piquillo fue que el tratamiento con
tecnologías combinadas presentó menor variación del pH de 3.75 a 3.81 al día 30
de almacenamiento, para el caso de la muestra control (Sin tecnología
combinada) el pH presentó mayor variación de 3.76 a 3.94, el mismo
comportamiento ocurrió en la acidez (%), donde se obtuvo que el tratamiento con
tecnologías combinadas presento menor variación de la acidez de 1.23 a 1.16% al
día 30 de almacenamiento, para el caso del control (Sin tecnología combinada) la
acidez presentó mayor variación de 1.24 a 1.09%. Con respecto al recuento de
mohos y levaduras en encurtido de pimiento piquillo fue que el tratamiento con
tecnologías combinadas presentó 0 ufc/g durante los 30 días de almacenamiento,
para el caso del control (Sin tecnología combinada) el recuento de mohos y
levaduras presentó  variación de 0  a 1.7x10² ufc/g. En conclusión se determinó
que el tratamiento que presentó mejores resultados respecto a la variación del pH,
acidez (%) y recuento de mohos y levaduras ufc/g en encurtido de pimiento
piquillo fue el uso de tecnologías combinadas durante 30 días de
almacenamiento.";2018
Universidad César Vallejo;Efecto De La Temperatura Y Tiempo De Tratamiento Térmico Sobre El Valor Pasteurizador, Porcentaje  De Retención De Carotenoides Y Aceptabilidad General De Néctar De Aguaymanto (Physalis Peruviana L).;Paiva Farías, Mabeli Susan;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación tuvo como objetivo evaluar el efecto de la temperatura
y tiempo de tratamiento térmico sobre el valor pasteurizador, porcentaje de retención de
carotenoides y aceptabilidad general de un néctar de aguaymanto (Physalis peruviana L.)
para garantizar la letalidad del microorganismo de referencia presente en el néctar así como
también la obtención del mayor porcentaje de retención de carotenoides del néctar de
aguaymanto (Physalis peruviana L) .  
Para el cumplimiento de este objetivo se trabajo con un diseño bifactorial (3 temperaturas y
3 tiempos), con 3 repeticiones. Para las variables paramétricas: valor pasteurizador y
retención de carotenoides, se realizó un análisis de varianza (ANVA), y a continuación, al
existir diferencias significativas (p&lt;0.05) se aplicó la prueba de comparaciones múltiples de
Duncan la cual comparó los resultados mediante la formación de subgrupos y se determinó
de esta manera el mejor tratamiento. Para la variable no-paramétrica aceptabilidad general,
se aplicó la prueba de Friedman. 
Se utilizó  aguaymanto (Physalis peruviana L.), procedente de la provincia de Cajamarca,
adquiridos en el Mercado “La Unión” de Trujillo, en buen estado sin presencia de daños
físicos o microbiológicos, fueron procesados y envasados en frascos de vidrio, siendo
tratados térmicamente en un baño maría a temperaturas de 75°C, 85°C y 95°C por el tiempo
de 5’, 10’ y 15’cada una. Finalmente se determinó que el mejor tratamiento para garantizar
la letalidad del microorganismo de referencia Byssochlasmy fulva fue de 85°C x 5’ con un
valor pasteurizador de 0.18’ y un porcentaje de retención de carotenoides de 79.24%. asi
como también se determinó que el néctar de aguaymanto (Physalis peruviana L.) si tiene
aceptabilidad por el público.";2018
Universidad César Vallejo;EFECTO DE PROPORCIONES DE TARWI (Lupinus mutabilis S.) SOBRE LAS CARACTERÍSTICAS SENSORIALES, REOLÓGICAS Y  FISICOQUÍMICAS DE UNA SALSA DE ROCOTO (Capsicum pubescens)”;Mendez Samana, Vany Margarita;Ingeniero Agroindustrial;Linares Lujan, Guillermo Alberto;"e investigó el efecto de proporciones de tarwi (Lupinus mutabilis S.) sobre las
características sensoriales, reológicas y fisicoquímicas de una salsa de rocoto
(Capsicum pubescens). En las características sensoriales entre los tratamientos se
utilizó una escala hedónica de 9 puntos, por parte de la aceptabilidad general
presentaron calificaciones de “ni me gusta ni me disgusta” de la muestra patrón del 0%
de Tarwi, “me gusta ligeramente” de la muestras del tratamiento que contiene 5% y
10% de Tarwi y “ me gusta” del tratamiento que contiene un 15% de Tarwi, en la
aceptabilidad de color en los tratamientos presento “ me gusta” por los tratamientos
que contienen Tarwi y “me gusta ligeramente” por la muestra patrón que no contiene
Tarwi y por parte de la textura presentación una calificación de “ me gusta” por todos
los tratamientos. En las características reológicas de la salsa de rocoto se utilizó un
viscosímetro digital de marca Fungilab Expert. En todos los tratamientos, la viscosidad
aparente disminuyó con la velocidad de cizalla demostrando un comportamiento “no
newtoniano” de tipo “plástico general”. La índice consistencia estuvo en el rango de
0.7133 y 0.8745 (n &lt; 1), el índice de comportamiento “k” en el rango de 4.1143 y 4.7249
Pa.sn , tensión de fluencia en el rango de 7.0620 y 8.989 Pa y finalmente, las
características fisicoquímicas de la salsa se obtuvo una acidez entre 1.038% a 1.054%
y un pH entre 3.850 a 3.963.";2017
Universidad César Vallejo;Efecto De La Temperatura Y Tiempo De Extracción, En El Rendimiento Y Fuerza Del Gel De Pectina Extraída De Borras Desechadas En El Proceso De Clarificación Durante La Elaboración De Vino Blanco;Rodríguez Iglesias, Cynthia Estefany;Ingeniero Agroindustrial;Barraza Jáuregui Gabriela del Carmen;"Se evaluó el  efecto de la temperatura y tiempo de extracción, en el rendimiento y fuerza de gel de pectina  extraída de borras desechadas en el proceso de clarificación durante la elaboración de vino blanco. La población estuvo conformada por 12 ensayos (4 tratamientos y 3 repeticiones), las cuales se evaluaron en su totalidad los parámetros rendimiento y fuerza de gel. Un análisis de varianza se usó para evaluar el efecto de dos temperaturas (85 y 95 °C) y tiempos de extracción (50 y 70 min) sobre el rendimiento de pectinas extraídas y su fuerza de gel. La comparación de medias fue hecha con el test de Duncan. El rendimiento no se encontró afectado por la temperatura y tiempo de extracción, ya que no presentó efecto significativo (p&gt;0.05), caso contrario ocurrió con la temperatura de extracción sobre la fuerza del gel de pectina extraída de borras desechadas en el proceso de clarificación durante la elaboración de vino blanco. El rendimiento obtenido fue  entre 1.07  y 1.27 % de pectina extraída de borras de vino blanco. El mejor tratamiento fue a una temperatura de 95 °C y tiempo de 50 min para obtener mayor valor de fuerza de gel (1.13) de pectina extraída de borras.";2014
Universidad César Vallejo;Estimación De La Vida Útil De Salsa De Persea Americana Mill (Palta) Var. Hass Envasada Al Vacío, Mediante Pruebas Aceleradas;Morillas Reynaga, Mariethe Norminha;Ingeniero Agroindustrial;Barraza Jáuregui Gabriela del Carmen;"El objetivo de esta investigación fue estimar la vida útil de una salsa de Persea americana Mill (Palta) var. Hass envasada al vacío, mediante pruebas aceleradas en función a la aceptabilidad general. El producto se almacenó a 5, 10 y 15 °C, durante 20 días. Se realizaron muestreos cada cinco días para cada temperatura en donde se evaluó el índice de pardeamiento (color), recuento de mohos y levaduras y la aceptabilidad general reclutando a 30 panelistas no entrenados (consumidores).
Los resultados indicaron que no existió efecto significativo sobre las evaluaciones del recuento de

mohos y levaduras, pero si existió efecto sobre el índice de pardeamiento (análisis de color)y en la aceptabilidad general (grado de satisfacción del producto).
El tiempo de vida útil se determinó mediante pruebas aceleradas, almacenando las muestras a las temperaturas de 5, 10 y 15 °C, evaluando la cinética de deterioro en función a la aceptabilidad general, que siguió una reacción de orden cero. El efecto de la temperatura se evaluó con la ecuación de Arrhenius, obteniéndose un valor de Energía de activación (Ea) de 39,36 kJ/mol. El tiempo de vida útil estimado de la salsa de Persea americana Mill (Palta) var. Hass envasada al vacío fue de 33.69 días a la temperatura de almacenamiento de 2 °C. El análisis estadístico se realizó empleando el software XLSTAT 2014.";2014
Universidad César Vallejo;Efecto De La Proporción De Viruta De Pinus Sylvestris L., Viruta De Eucalyptus Globulus L. Y Coronta De Zea Mays, En La Formulación De Sustratos, Sobre La Capacidad Productiva De Pleurotus Ostreatus.;García Quezada, Jorge Armando;Ingeniero Agroindustrial;Miano Pastor, Alberto Claudio;"El presente trabajo de investigación tuvo por objetivo evaluar el efecto de la proporción de viruta de Pinus sylvestris L, viruta de Eucalyptus globulus L, y coronta de Zea mays en la formulación de sustratos, sobre la capacidad productiva (Rendimiento, Eficiencia Biológica y Tasa de Producción) de Pleurotus ostreatus, para lo cual se empleó un Diseño Simplex con Centroide Ampliado realizándose un total de 10 tratamientos, tomando rangos entre 0 a 100 % p/p de cada sustrato. Se aplicó un análisis de varianza (ANOVA) encontrándose diferencia significativa (p&lt;0,05) entre los tratamiento y demostrando que la viruta de Eucalyptus globulus disminuye la capacidad productiva de Pleurotus ostreatus.  Se optimizó la mezcla de sustratos para obtener la máxima capacidad productiva, la cual fue 93,43% de viruta de Pinus sylvestris, 6,57% de coronta de Zea mays y 0% de viruta de Eucalyptus globulus L, obteniendo 18,18% de rendimiento, 50,05% de eficiencia biológica y 139,04% de tasa de producción. Finalmente se obtuvo un modelo correspondiente para cada variable dependiente (R2&gt;0.98) el cual tiene como utilidad la predicción de la capacidad productiva al utilizar los sustratos empleados en la presente investigación.";2014
Universidad César Vallejo;Efecto De La Concentración De Albumina De Huevo Y Tiempo De Batido En Las Características Físicas De Espuma De Pulpa De Sauco  (Sambucus Nigra) Con Fines De Deshidratación.;Cuccaro Arrieta, Miguel Alfredo;Ingeniero Agroindustrial;Barraza Jáuregui Gabriela del Carmen;"El  presente trabajo  de investigación  tuvo  por objetivo  evaluar  el  efecto de  la concentración  de albumina de huevo y tiempo de batido en las características físicas de la espuma (estabilidad, expansión) de pulpa de sauco (Sambucus nigra) para fines de deshidratación, para lo cual se empleó albumina de huevo como agente espumante; a concentraciones de 5-15% y tiempos de batido de
5-15% como niveles mínimos y máximos. Se realizó 13 tratamientos provenientes del diseño experimental de superficie de respuesta con diseño central compuesto rotacional.

Se aplicó un análisis de varianza (ANOVA) encontrándose diferencia significativa (p&lt;0,05), se obtuvo un R2 de 88.44% para la variable expansión y un R2  76.27% para la variable estabilidad, de lo cual se observa que el modelo sólo describe el fenómeno producido por la expansión de espuma. Dicha variable se optimizó para obtener los mejores resultados. Para expansión de espuma se tomaron como valores óptimos en concentración de albumina 16.58 % p/p y en tiempo de batido 10.94 min. La predicción para la óptima combinación fue de 415.25 % de expansión de espuma; dado que en estadística se trabaja con un intervalo de confianza del 95% tendremos dos límites: el inferior de
381. 29 % y el superior de 449.22 % de expansión de espuma. Finalmente mediante una prueba experimental se logró confirmar dichas predicciones validando correctamente la variable expansión de espuma.";2014
Universidad César Vallejo;Efecto De La Proporción De Pulpa De Zanahoria (Daucus Carota L.) En Las Características Físicoquímicas Y Aceptabilidad General De Un Helado Tipo Crema;García Cabrera, José Alexander;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"El presente trabajo de investigación tuvo por finalidad evaluar el efecto de la proporción de pulpa de zanahoria en las características fisicoquímicas y sensoriales de un helado tipo crema. Se tuvo como variable independiente a la proporción de pulpa de zanahoria (10, 20 y 30%) y     como variables dependientes paramétricas al overrun, pH, acidez, °Brix, contenido de proteína y grasa evaluados mediante un diseño de bloques completamente aleatorizados; sensorialmente para la textura los tratamientos se evaluaron mediante una prueba de ordenamiento de menor a mayor percepción  de  granulosidad,  y  una  prueba  afectiva  para  aceptabilidad  general,  donde  los panelistas ponderaron el nivel de agrado o desagrado de los tratamientos de helado tipo crema, para el análisis de datos sensoriales se usó la prueba de Friedman y Wilcoxon. Se determinó la existencia de efecto significativo (p&lt;0.05) de la proporción de pulpa de zanahoria sobre los °Brix y textura sensorial, caso contrario ocurrió para overrun, pH, acidez, contenido de proteína y grasa y aceptabilidad general. Se determinó que con una proporción de pulpa de zanahoria al 30% los parámetros  de pH, acidez, °Brix, contenido de grasa  y  proteína  se encontraron dentro de  los requisitos de la norma técnica peruana para helados tipo crema, además, hasta con este nivel de proporción la aceptabilidad general no presentó cambios considerables, se obtuvo la moda más alta de 9 puntos correspondiente a la percepción de “me agrada muchísimo” y en textura sensorial los tratamientos fueron ordenados como “más granulosos”.";2015
Universidad César Vallejo;Caracterización Fisicoquimica Y Reologica De Almidon De Arracacha (Arracacia Xanthorrhiza) Variedad Amarilla Procedente De La Provincia San Ignacio-Departamento De Cajamarca.;Alayo Sánchez, Brenda del Pilar;Ingeniero Agroindustrial y Comercio Exterior;Leon Marrou, Maria Elena;"En este trabajo de investigación se caracterizó las propiedades fisicoquímicas y reológicas del almidón de la arracacha (Arracacia xanthorrhiza) variedad amarilla procedente de la provincia de San Ignacio-Departamento de Cajamarca. Se extrajo el almidón y se evaluó su rendimiento, sus propiedades fisicoquímicas y reológicas. Los resultados obtenidos indican que el almidón presentó un rendimiento de 11.1%, con un contenido de humedad de 4.71 %, 0.27 % de cenizas, amilosa 15.16% y amilopectina 84.84%.Los gránulos de almidón mostraron en su gran mayoría formas poliédricas, con tamaños de 7 a 25μm.Además, presentó un índice de absorción de agua 16.03 g gel/ g muestra,   una baja solubilidad de 15.36 % y un poder de hinchamiento alto de 16.23 g agua. g–1 almidón. La temperatura de gelatinización del almidón es de 65.3 ºC, se observó una sinéresis a las 24 h 6.35 % y a las 48 h 6.9 %. Las suspensiones al 5% de almidón de la arracacha (Arracacia xanthorrhiza) variedad amarilla pre gelatinizado exhibieron un comportamiento de fluido no Newtoniano de tipo plástico general con esfuerzo cortante ד(0) 5.08 Pa., índice de comportamiento de
flujo de 0.61 e índice de consistencia m de 3.95 Pa.s";2015
Universidad César Vallejo;Estudio Económico Para La Instalación De Una Planta Procesadora De Panela Orgánica Y Su Impacto En La Economía De Los Agricultores Del Distrito De Cumba, Provincia Utcubamba, Región Amazonas (2015);Loaiza Colunche, Evert;Ingeniero Agroindustrial;Sánchez González, Jesús Alexander;"La agroindustria panelera en Perú se está desarrollando a pasos agigantados, principalmente en la Región Amazonas. En tal sentido, es importante conocer al detalle el proceso de producción de panela granulada y panela sólida, desarrollando tecnología local que permita hacer frente a los retos que involucran dicha agroindustria, por lo que, en el presente trabajo de investigación se ha diseñado una propuesta para la instalación de una planta procesadora de panela orgánica, en el Distrito de Cumba, Provincia de Utcubamba en la Región Amazonas,  iniciando con el estudio de mercado;  la  localización  y  tamaño  de  planta;  la  ingeniería  del  proyecto  que  consta  con  el diagrama de flujo de proceso, especificaciones de equipos, mano de obra, distribución de planta y especificación del terreno y construcción; luego se continuó con el balance de materia; estudio de impacto ambiental; estudio organizacional; estudio económico y financiero; conclusiones y recomendaciones.

La  necesidad  de  financiamiento  es  de  $  63259.31,  cuyas  fuentes  de  financiamiento  para  la inversión inicial (90%) tenemos   Fondo de Investigación y Desarrollo para la Competitividad (FIDECOM), liderado por el Ministerio de la Producción: El PIPEA (Proyectos de Innovación Productiva); El PIPEI (Proyectos de Innovación Productiva para Empresas Individuales) y El PIMEN (Proyectos Menores de Innovación Productiva); el 10% es capital propio y el capital de trabajo estará financiado por el Banco Continental. El proyecto es muy rentable, considerando una tasa de descuento del 14% obtenemos un VAN (valor actual neto) de S/. 746586.26 y un TIR (tasa interna de retorno) de 3583%, con un Periodo de recuperación de capital (PRC) de 2.41 años; Relación Beneficio/costo es de 1.60. Una buena sensibilidad del precio al reducir el precio hasta $
500 la tonelada de panela obtenemos un VAN de S/. 150085.13 y un TIR de 132%; no obstante si consideramos la demanda es 10% menos de lo que se prevé con un precio de $ 500 la tonelada de panela se tiene un VAN de S/. 32746.43 y un TIR de 32%, lo que indica muy buena rentabilidad.
De acuerdo a la perspectiva de los agricultores, la instalación de la planta panelera tendrá un impacto positivo en su economía.";2015
